,loan_id,loan_amount,loan_duration,installment_amount,fund_transfer_ts,application_id
129,2005020671652.0,1500000.0,6.0,340000.0,2021-02-24 13:20:53.306767+00:00,2004026009327.0
130,2005020666890.0,2000000.0,6.0,453000.0,2021-02-18 14:17:35.789977+00:00,2004025750449.0
131,2005020854960.0,1000000.0,3.0,383000.0,2021-06-27 02:05:27.391820+00:00,2004025774535.0
132,2005021902049.0,52905.0,1.0,54280.0,2022-01-16 12:46:44.388348+00:00,2004028264499.0
133,2005020683287.0,1000000.0,5.0,280000.0,2021-03-09 09:58:29.497858+00:00,2004026100105.0
134,2005020724066.0,300000.0,3.0,115000.0,2021-04-15 11:54:02.427875+00:00,2004026020036.0
135,2005020689496.0,8000000.0,6.0,1813000.0,2021-03-16 02:14:58.911180+00:00,2004026155753.0
136,2005020828721.0,158474.0,3.0,62000.0,2021-06-15 02:44:53.961920+00:00,2004026725822.0
137,2005020691475.0,54140.0,1.0,56034.0,2021-03-17 14:19:42.970731+00:00,2004025892645.0
138,2005020691476.0,54140.0,1.0,56034.0,2021-03-17 14:20:15.126889+00:00,2004025892645.0
139,2005020691477.0,,1.0,56034.0,2021-03-17 14:20:49.233098+00:00,2004025892645.0
140,2005020691478.0,54140.0,1.0,56034.0,2021-03-17 14:21:17.585392+00:00,2004025892645.0
141,2005020691479.0,54140.0,1.0,56034.0,2021-03-17 14:21:52.383345+00:00,2004025892645.0
142,2005020691480.0,54140.0,1.0,56034.0,2021-03-17 14:22:38.387769+00:00,2004025892645.0
143,2005020691484.0,54140.0,1.0,56034.0,2021-03-17 14:24:14.969395+00:00,2004025892645.0
144,2005020828730.0,80000.0,1.0,85866.0,2021-06-15 02:48:28.993696+00:00,2004026762017.0
145,2005020686172.0,,3.0,196000.0,2021-03-12 10:08:06.257444+00:00,2004025774535.0
146,2005020749083.0,1000000.0,6.0,236000.0,2021-05-03 16:21:06.568615+00:00,2004026162153.0
147,2005020770428.0,500000.0,6.0,118000.0,2021-05-18 09:09:10.113351+00:00,2004026162153.0
148,2005020733456.0,1053684.0,4.0,316000.0,2021-04-23 03:10:37.274859+00:00,2004026175140.0
149,2005020819468.0,26155.0,1.0,29145.0,2021-06-11 04:12:25.458181+00:00,2004026699875.0
150,2005021002783.0,,2.0,174000.0,2021-08-20 00:10:47.585947+00:00,2004026834623.0
151,2005020871015.0,1000000.0,4.0,330000.0,2021-07-03 03:43:37.818652+00:00,2004026217276.0
152,2005020917267.0,500000.0,3.0,206000.0,2021-07-21 09:50:12.014095+00:00,2004026217276.0
153,2005021186776.0,27368.0,1.0,28690.0,2021-10-02 11:39:57.860401+00:00,2004027139331.0
154,2005020686389.0,500000.0,4.0,160000.0,2021-03-12 10:45:47.696576+00:00,2004025663861.0
155,2005020721330.0,350000.0,6.0,75000.0,2021-04-13 11:37:07.582998+00:00,2004026020036.0
156,2005020903475.0,289247.0,2.0,167000.0,2021-07-15 02:28:28.938769+00:00,2004026489663.0
157,2005020703842.0,1000000.0,3.0,403000.0,2021-03-29 01:15:55.466512+00:00,2004026034694.0
158,2005021169538.0,80000.0,1.0,84133.0,2021-09-30 03:28:23.325011+00:00,2004027139331.0
159,2005020723439.0,300000.0,3.0,118000.0,2021-04-15 05:22:39.665063+00:00,2004025774535.0
160,2005020889507.0,21632.0,1.0,22677.0,2021-07-10 13:54:15.628348+00:00,2004026472160.0
161,2005021690905.0,1000000.0,3.0,403000.0,2021-12-18 09:01:05.474443+00:00,2004027252741.0
162,2005020739447.0,31042.0,1.0,34156.0,2021-04-27 06:25:19.005659+00:00,2004025877603.0
163,2005020739483.0,25874.0,1.0,28470.0,2021-04-27 07:00:53.523611+00:00,2004025877603.0
164,2005020872263.0,78842.0,1.0,83441.0,2021-07-03 13:08:35.327541+00:00,2004026660858.0
165,2005022041453.0,2052905.0,5.0,574000.0,2022-02-04 01:17:52.677577+00:00,2004026888864.0
166,2005020691547.0,500000.0,5.0,130000.0,2021-03-18 00:02:37.033623+00:00,2004026134257.0
167,2005020688964.0,500000.0,5.0,140000.0,2021-03-15 09:04:51.617500+00:00,2004026148999.0
168,2005020739455.0,25874.0,1.0,28470.0,2021-04-27 06:42:30.084490+00:00,2004025877603.0
169,2005020695759.0,105860.0,1.0,115987.0,2021-03-21 16:09:51.334483+00:00,2004025892645.0
170,2005020695703.0,2000000.0,7.0,385000.0,2021-03-21 14:19:12.274953+00:00,2004025925344.0
171,2005020712523.0,350000.0,5.0,87000.0,2021-04-06 11:53:19.194288+00:00,2004025631947.0
172,2005020691784.0,1500000.0,4.0,465000.0,2021-03-18 04:38:54.000358+00:00,2004026083306.0
173,2005020872279.0,105789.0,2.0,60000.0,2021-07-03 13:15:41.006249+00:00,2004026668595.0
174,2005020730330.0,300000.0,3.0,115000.0,2021-04-20 12:49:34.783118+00:00,2004026020036.0
175,2005020876432.0,500000.0,5.0,140000.0,2021-07-05 09:54:37.574757+00:00,
176,2005020798826.0,500000.0,5.0,140000.0,2021-06-02 02:08:09.571345+00:00,2004026637165.0
177,2005020764803.0,500000.0,4.0,165000.0,2021-05-14 15:00:49.427968+00:00,2004026524585.0
178,2005020711601.0,500000.0,3.0,206000.0,2021-04-06 03:40:01.334493+00:00,2004026292493.0
179,2005020691842.0,1200000.0,5.0,336000.0,2021-03-18 05:13:43.231409+00:00,2004026152942.0
180,2005020841707.0,11474.0,1.0,12334.0,2021-06-21 02:29:38.632287+00:00,2004026717006.0
181,2005020691833.0,6000000.0,6.0,1360000.0,2021-03-18 05:03:44.186234+00:00,2004026173754.0
182,2005020958493.0,1000000.0,5.0,280000.0,2021-08-06 09:53:17.696743+00:00,2004025896310.0
183,2005020733479.0,52905.0,1.0,54597.0,2021-04-23 03:24:52.530083+00:00,2004026436358.0
184,,1000000.0,5.0,280000.0,2021-03-06 03:04:19.356503+00:00,2004026083268.0
185,2005020836594.0,103632.0,1.0,111231.0,2021-06-18 11:44:50.076298+00:00,2004026147446.0
186,2005020791420.0,1000000.0,3.0,403000.0,2021-05-29 10:02:32.490067+00:00,2004026629475.0
187,2005020676325.0,1000000.0,6.0,226000.0,2021-03-01 13:22:53.617894+00:00,2004025854121.0
188,2005020819650.0,316368.0,6.0,68000.0,2021-06-11 05:06:21.337600+00:00,2004026134257.0
189,2005020773233.0,526895.0,5.0,131000.0,2021-05-19 15:37:40.601117+00:00,2004026134257.0
190,2005020730465.0,52905.0,1.0,53963.0,2021-04-20 15:31:25.053636+00:00,2004026020036.0
191,2005022041503.0,263737.0,3.0,106000.0,2022-02-04 00:48:43.032801+00:00,2004027209407.0
192,2005020828866.0,500000.0,2.0,290000.0,2021-06-15 03:46:35.577176+00:00,2004026795874.0
193,2005021902662.0,52905.0,1.0,54280.0,2022-01-16 15:29:32.499457+00:00,2004028264499.0
194,2005020752263.0,500000.0,6.0,113000.0,2021-05-07 03:21:06.534848+00:00,2004026524022.0
195,2005020878969.0,53211.0,1.0,56137.0,2021-07-06 10:56:52.774113+00:00,2004026472160.0
